id;booktitle;text;isbn;publisher;language;pubyear;pages;price;author;status;date_added;date_modified;subject_name_id
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;Principal Baht radical;English;45797;5907;47660;Fish Borders;Active;2020-04-29;2020-04-29;1
2;Texas auxiliary;Pula redefine Paradigm;Optimization secondary driver;Soft Alaska;Hindi;88069;33648;45684;Georgia markets;Inactive;2020-04-29;2020-04-29;2
3;cross-platform;Consultant XML methodologies;orchestrate application Port;payment Small Soft Keyboard;English;6617;41486;54475;Coordinator backing up Ports;Inactive;2020-04-30;2020-04-30;3
4;e-business Czech Koruna back-end;Producer hard drive;mobile Product programming;Checking Account Industrial;Odia;15024;43564;19069;Dominica;Inactive;2020-04-29;2020-04-30;4
5;primary interface;Som;silver Clothing alarm;Books Oklahoma;Odia;31114;52036;75226;Zloty secondary;Inactive;2020-04-29;2020-04-29;5
6;Bedfordshire;Accountability circuit;South Carolina EXE HDD;Unbranded Metal Towels Consultant;Odia;67579;74399;41132;bus Personal Loan Account;Inactive;2020-04-30;2020-04-29;6
7;compress Checking Account multi-tasking;Marketing Unbranded Metal Sausages Buckinghamshire;Plastic invoice ROI;white USB Infrastructure;English;41623;46852;43102;Extended;Active;2020-04-29;2020-04-30;7
8;azure Intelligent Fresh Chicken wireless;hybrid;multimedia;Coordinator Tasty;Odia;30751;2766;25124;Sausages Tuna;Active;2020-04-29;2020-04-30;8
9;alliance;supply-chains blue Licensed Plastic Keyboard;Central;Cheese Savings Account;Odia;36379;59508;53671;green;Inactive;2020-04-29;2020-04-30;9
10;Indian Rupee Ngultrum;methodical;Bike;Practical Fresh Shirt users;English;65301;48188;82728;Communications frictionless application;Inactive;2020-04-30;2020-04-30;10
