id;subject_name;status;jhi_order;date_added;date_modified;subject_category_name_id
1;Nigeria Bahraini Dinar;Active;23623;2020-04-29;2020-04-30;1
2;encompassing Rustic Plastic Salad;Inactive;63003;2020-04-29;2020-04-30;2
3;Ergonomic Granite Chicken Berkshire generate;Active;93557;2020-04-29;2020-04-29;3
4;orchid;Active;78617;2020-04-29;2020-04-30;4
5;Rustic Plastic Bike innovate;Active;21624;2020-04-29;2020-04-30;5
6;Port Personal Loan Account;Inactive;83611;2020-04-30;2020-04-30;6
7;Oklahoma RAM forecast;Inactive;75490;2020-04-30;2020-04-30;7
8;Cheese;Inactive;43174;2020-04-29;2020-04-29;8
9;Baby parsing transmitting;Active;40067;2020-04-29;2020-04-30;9
10;robust;Active;19411;2020-04-30;2020-04-29;10
