id;chapter_title;chapter_number;pages;type;jhi_order;status;date_added;date_modified;bookisbn_id
1;National Corner matrix;Principal;46247;Locked;58499;Inactive;2020-04-29;2020-04-30;1
2;Customer Alabama Guyana;Tasty Zambia circuit;95198;Free;85058;Active;2020-04-30;2020-04-29;2
3;Licensed capacity primary;payment Awesome;8826;Locked;54326;Inactive;2020-04-29;2020-04-30;3
4;generate Chips Crescent;Gorgeous Fresh Chicken Berkshire SMTP;37176;Free;68851;Inactive;2020-04-30;2020-04-30;4
5;Handcrafted compressing Plastic;redundant Forward;94827;Locked;86039;Active;2020-04-30;2020-04-30;5
6;withdrawal tertiary Awesome Fresh Salad;Unbranded Trinidad and Tobago SSL;34804;Locked;83530;Inactive;2020-04-30;2020-04-30;6
7;Avon Metal payment;Representative Fresh indexing;85668;Locked;76057;Inactive;2020-04-29;2020-04-29;7
8;Small Steel Mouse Public-key Garden;Tasty input;24594;Locked;55665;Active;2020-04-29;2020-04-30;8
9;Public-key;Ouguiya moratorium Saudi Arabia;14364;Free;74056;Active;2020-04-30;2020-04-30;9
10;Plastic productize;payment matrices;42074;Free;74138;Active;2020-04-30;2020-04-30;10
